iata_code,icao_code,name,country
,GNL,"135 Airways","United States"
2T,TBS,"Timbis Air",Kenya
,WYT,"2 Sqn No 1 Elementary Flying Training School","United Kingdom"
,TFU,"213th Flight Unit",Russia
,CHD,"223rd Flight Unit",Russia
,TTF,"224th Flight Unit",Russia
,TWF,"247 Jet Ltd","United Kingdom"
,SEC,"3D Aviation","United States"
3J,JUB,"Jubba Airways",Kenya
Q5,MLA,"40-Mile Air","United States"
,QRT,"4D Air",Thailand
,PIU,"43 Air School","South Africa"
4D,ASD,"Air Sinai",Egypt
4R,SEK,"Star East Airline",Romania
4O,AIJ,Interjet,Mexico
7A,XRC,"Express Air Cargo",Tunisia
7B,UBE,"Bees Airline",Ukraine
7S,RYA,"Ryan Air Services","United States"
,BRO,"2Excel Aviation","United Kingdom"
A2,AWG,Animawings,Romania
,WSN,"Advanced Air","United States"
,GBT,"A-Jet Aviation Aircraft Management",Austria
,AJR,"A-Jet Aviation Company",Mongolia
,SFM,"A-Safar Air Services",Nigeria
,AJJ,"A2 Jet Leasing","United States"
,XXV,AASANA,Bolivia
,LEP,"Air Costa",India
,NKP,"Abakan Air","Russian Federation"
,ADD,"Advanced Air Co.",Japan
,OWN,"Aero Owen",Mexico
,ASR,"Aero Sotravia",France
,ARH,Aerohelicopteros,Venezuela
,VMX,"Aeroventas de Mexico",Mexico
WP,ATW,"Air Antwerp",Belgium
,ACC,"Airspeed Charter",Jamaica
,FSY,"Algonquin Airlink",Canada
,TTX,"Alliance Air Charters","United States"
,ALN,"Alpha Jet, S.R.O.",Slovakia
,UJX,"Atlas Ukraine Airlines",Ukraine
,RGR,"Avior Regional",Venezuela
,NGF,"Air Charity Network","United States"
,WFT,"Aircharters Worldwide","United States"
,ATT,"Attawasol Airlines",Libya
,EDY,"Apollo Air Service","United Kingdom"
JY,IWY,"InterCaribbean Airways","Turks and Caicos Islands"
JU,ASL,"Air Serbia",Serbia
QH,LYN,"Air Kyrgyzstan",Kyrgyzstan
XK,CCM,"Air Corsica",France
,AHS,"AHS Air International",Pakistan
,ROH,"Aberdair Aviation Ghana",Ghana
,ROO,"Aero Roa",Mexico
,AWF,Aeroforward,"United States"
,SUP,"Aeronautical Charters","United States"
,PSO,"Aerotaxis Pegaso",Mexico
EI,EIN,"Aer Lingus",Ireland
,VLB,"Air Volta",Bulgaria
,WAS,Air-Watania,Iraq
,FCJ,"AirSprint US","United States"
,TEW,"Airteam Charter","South Africa"
,STT,"Alpha Star Charter","Saudi Arabia"
,LBZ,"Angkasa Super Service",Indonesia
,HEZ,"Arrow Aviation",Israel
,UAH,"Air Experience Flight, Cranwell","United Kingdom"
,DRO,"Adro Servicios Aereos",Mexico
,RVQ,"Aero Jet International","United States"
,ASK,Aerosky,Spain
,AEH,Aero4m,Slovenia
,ERO,Aeroecom,Venezuela
A8,XAU,"Aerolink Uganda",Uganda
,NKY,Aeromonkey,Mexico
,AWP,"Aeroworld Pakistan",Pakistan
,AGA,"AG Air",Georgia
,ABZ,"Air Ambulance Services",Bahamas
RV,ROU,"Air Canada Rouge",Canada
,CNM,"Air China Inner Mongolia",China
,VRE,"Air Côte d'Ivoire","Ivory Coast"
,AWL,"Air Walser",Malta
,AXY,"Air X Charter",Malta
,OES,"ART Aviation",Austria
,ASF,"Austrian Air Force",Austria
,AVG,"Aviation Legacy",Gambia
7A,AZY,"Aztec Worldwide Airlines","United States"
W9,AAB,"Abelag Aviation",Belgium
6U,ACX,"Air Cargo Germany",Germany
,AAD,"Aero Aviation Centre Ltd.",Canada
,SII,"Aero Servicios Ejecutivos Internacionales",Mexico
,BZS,"Aero Biniza",Mexico
,AET,Aero-Palma,Spain
,ABM,"Aero Albatros",Spain
E4,RSO,"Aero Asia International",Pakistan
ZI,AAF,"Aigle Azur",France
,AAM,"Aim Air",Moldova
,AAO,"Atlantis Airlines (USA)","United States"
,AAP,"Aerovista Airlines",Kyrgyzstan
AE,AE,"Air Ceylon","Sri Lanka"
OZ,AAR,"Asiana Airlines","Republic of Korea"
4K*,AAS,"Askari Aviation",Pakistan
,AAU,"Australia Asia Airlines",Australia
,AAV,"Astro Air International","United States"
8U,AAW,"Afriqiyah Airways",Libya
Q9,AFU,"Afrinat International Airlines",Gambia
,AAX,"Afric'air Express","Côte d'Ivoire"
,BRL,"Air Brasd'or",Canada
,AFH,"Air Fecteau",Canada
,BRM,"Air 500",Canada
,AAG,"Atlantic Flight Training","United Kingdom"
QB,AAJ,"Air Alma",Canada
,ACS,"Air Cess",Liberia
,ADT,"Air Dorval",Canada
,AHN,"Air Hungaria",Hungary
,AHR,"Air Adriatic",Croatia
LD,AHK,"Air Hong Kong","Hong Kong"
,AEQ,"Air Express",Sweden
,AAI,"Air Aurora","United States"
,ACU,"Air Cargo Transportation System",Kenya
UL,ALK,"SriLankan Airlines","Sri Lanka"
,ACV,"Air Charter Service","United Kingdom"
,ADC,"Air Atlantic Dominicana","Dominican Republic"
,ADW,"Air Andaman",Thailand
UX,AEA,"Air Europa",Spain
IG,AEY,"Air Italy",Italy
,ASW,"Air Southwest Ltd.",Canada
,ASX,"Air Special","Czech Republic"
NX,AMU,"Air Macau",Macao
ZV,AMW,"Air Midwest","United States"
HM,SEY,"Air Seychelles",Seychelles
,SFB,"Air Sofia",Bulgaria
,BRF,"Air Bravo",Uganda
AF,AFR,"Air France",France
,ACG,"Air Partner","United Kingdom"
SB,ACI,"Air Caledonie International",France
,VSG,"AirClass Airways",Spain
EH,AKX,"Air Nippon Network Co. Ltd.",Japan
,ALM,"Air ALM","Netherlands Antilles"
,ACM,"Air Caledonia",Canada
,AGM,"Air Guam","United States"
ZW,AWI,"Air Wisconsin","United States"
,ALU,"Air Luxor STP","São Tomé and Príncipe"
YI,RSI,"Air Sunshine","United States"
GN,AGN,"Air Gabon",Gabon
,AFS,"Air Data","United Kingdom"
,AFV,"Air Afrique Vacancies","Côte d'Ivoire"
NQ,AJX,"Air Japan",Japan
VD,LIB,"Air Liberté",France
TT,KLA,"Air Lithuania",Lithuania
,AMG,"Air Minas Linhas Aéreas",Brazil
4N,ANT,"Air North Charter - Canada",Canada
,ANV,"Air Nevada","United States"
"NZ TE",ANZ,"Air New Zealand","New Zealand"
,AOE,"Air One Executive",Italy
,AMI,"Air Maldives",Maldives
QM,AML,"Air Malawi",Malawi
,AMN,"Air Montenegro",Montenegro
ML,BIE,"Air Mediterranee",France
P8,MKG,"Air Mekong",Vietnam
,TAH,"Air Moorea",France
,AVZ,"Air Valencia",Spain
,AMO,"Air Montreal (Air Holdings Inc.)",Canada
,AMR,"Air Specialties Corporation","United States"
,AMS,"Air Muskoka",Canada
,AOJ,"Avcon Jet",Austria
,AJU,"Air Jetsul",Portugal
,AKA,"Air Korea Co. Ltd.","Republic of Korea"
,LIV,"Air Livonia",Estonia
ZX,ABL,"Air BC",Canada
,ABN,"Air Fret Senegal",Senegal
,LJA,"Air Jamahiriya Company",Libya
G8,AGB,"Air Service Gabon",Gabon
7T,AGV,"Air Glaciers",Switzerland
,MVM,"Air Cargo America","United States"
,AMY,"Air Ambar","Dominican Republic"
6V,VGA,"Air Vegas","United States"
,AOU,"Air Tractor",Croatia
,APA,"Air Park Aviation Ltd.",Canada
,APG,"Air People International",Thailand
NH,ANA,"All Nippon Airways",Japan
,ANB,"Air Navigation And Trading Co. Ltd.","United Kingdom"
,NGO,Air-Angol,Angola
TZ,TWG,"air-taxi Europe",Germany
,NGP,"Air Nigeria",Nigeria
2Q,SNC,"Air Cargo Carriers","United States"
,SND,"Air Samarkand",Uzbekistan
V7,SNG,"Air Senegal International",Senegal
,SNY,"Air Sandy",Canada
,AII,"Air Integra",Canada
,BFF,"Air Baffin",Canada
,BDM,"Air Bandama","Ivory Coast"
AB,BER,"Air Berlin",Germany
,ABT,"Air Brousse",Canada
,APV,"Air Plan International","Democratic Republic of the Congo"
,ARX,"Air Xpress, Inc.","United States"
,HTT,"Air Tchad",Chad
,ARZ,"Air Resorts","United States"
,ASB,"Air-Spray 1967 Ltd.",Canada
,ASC,"Air Star Corporation",Canada
,AQN,"Air Queensland",Australia
,ARC,"Air Routing International Corp.","United States"
QN,ARR,"Air Armenia",Armenia
,ABR,"ASL Airlines Ireland",Ireland
,AIL,"Air Illinois","United States"
AI,AIC,"Air India Limited",India
,AIG,"Air Inter Gabon",Gabon
PJ,SPM,"Air Saint Pierre",France
SZ,WOW,"Air Southwest","United Kingdom"
,ATJ,"Air Traffic GmbH",Germany
8C,ATN,"Air Transport International","United States"
,ATQ,"Air Transport Schiphol",Netherlands
,ATS,"Air Transport Service","Democratic Republic of the Congo"
,AUX,"Air Uganda International Ltd.",Uganda
NF,AVN,"Air Vanuatu",Vanuatu
ZB,BUB,"Air Bourbon",Reunion
CC,ABD,"Air Atlanta Icelandic",Iceland
,AIE,"Air Inuit",Canada
,AIS,"Air Sureste",Spain
RB,SBK,"Air Srpska","Bosnia and Herzegovina"
TN,THT,"Air Tahiti Nui",France
SW,NMB,"Air Namibia",Namibia
,NSK,"Air Intersalonika",Greece
,NTL,"Air Anatolia",Turkey
,SGA,"Air Saigon",Vietnam
,AFW,"Afrique Regional Airways","Côte d'Ivoire"
PE,AEL,"Air Europe Italy",Italy
JM,AJM,"Air Jamaica",Jamaica
,AWN,"Air Niamey",Niger
,AWT,"Air West",Canada
6G,AWW,"Air Wales","United Kingdom"
TX,FWI,"Air Caraïbes",France
IX,AXB,"Air India Express",India
,AXD,"Air Express",Sudan
,BSB,"Air Wings",Moldova
BT,BTI,"Air Baltic",Latvia
,ANI,"Air Atlantic (Nig) Limited",Nigeria
EL,ANK,"Air Nippon",Japan
YW,ANE,"Air Nostrum",Spain
PX,ANG,"Air Niugini","Papua New Guinea"
G9,ABY,"Air Arabia","United Arab Emirates"
AC,ACA,"Air Canada",Canada
AP,LAV,AlbaStar,Spain
,MHS,"Air Memphis",Egypt
XT,AXL,"Air Exel",Netherlands
,AZF,"Air Zermatt AG",Switzerland
UM,AZW,"Air Zimbabwe",Zimbabwe
,MHU,"Air Memphis",Uganda
,MKH,"Air Marrakech Service",Morocco
,AZX,"Air Max Africa",Gabon
S2,RSH,"Air Sahara",India
,ATA,"Air Transport Association","United States"
TC,ATC,"Air Tanzania",Tanzania
,XAC,"Air Charter World","United States"
2J,VBW,"Air Burkina","Burkina Faso"
,ATH,"Air Travel Corp.","United States"
KM,AMC,"Air Malta",Malta
YT,TGA,"Air Togo",Togo
,ASJ,"Air Satellite",Canada
,ASN,"Air and Sea Transport",Russia
,ASS,"Air Class, S.A. de C.V.",Mexico
,NPL,"Air Nepal International",Nepal
,NPR,"Air Napier","New Zealand"
,WAM,"Air Taxi & Cargo",Sudan
,RSM,"Air Somalia","Somali Republic"
,AWZ,AirWest,Sudan
G4,AAY,"Allegiant Air","United States"
,AAZ,"Angus Aviation",Canada
,ABA,Artem-Avia,Ukraine
,ABB,"African Business and Transportations","Democratic Republic of the Congo"
,ABE,"Aban Air",Iran
,ABF,"Aerial Oy",Finland
,ABG,Abakan-Avia,Russia
M3,TUS,"ABSA Cargo",Brazil
,ABJ,"Abaeté Linhas Aéreas",Brazil
,ABK,"Alberta Citylink",Canada
,ABO,"APSA Colombia",Colombia
,ABU,"Aerovías Bueno",Colombia
,ACR,"Aerocenter, Escuela de Formación de Pilotos Privados de Avión",Spain
O4,ABV,"Antrak Air",Ghana
GB,ABX,"Airborne Express","United States"
,ACD,"Academy Airlines","United States"
8V,ACP,"Astral Aviation",Kenya
,ACY,"Atlas Cargo Airlines",Morocco
,ADA,"Airservices Australia",Australia
8T,TID,"Air Tindi",Canada
,ADB,"Antonov Airlines",Ukraine
,ADE,"Ada Air",Albania
,ADG,"Aerea Flying Training Organization",Spain
,ADI,"Audeli Air",Spain
,ADJ,"Abidjan Air Cargo","Côte d'Ivoire"
Z7*,ADK,"ADC Airlines",Nigeria
,ADL,"Aero Dynamics","United Kingdom"
,ADN,Aero-Dienst,Germany
,ADP,Aerodiplomatic,Mexico
,ADY,Aerodyne,"United States"
,ADQ,"Avion Taxi",Canada
JP,ADR,"Adria Airways",Slovenia
,ADS,"Aviones de Sonora",Mexico
,ADU,"Airdeal Oy",Finland
,ADV,"Advance Air Charters",Canada
EM*,AEB,"Aero Benin",Benin
,AEC,Aerocésar,Colombia
,AED,"Aerotrans Airlines",Russia
,ADX,"Anderson Aviation","United States"
A3,AEE,"Aegean Airlines",Greece
,AEG,"Aerofumigaciones Sam",Chile
2K,GLG,Aerogal,Ecuador
,AEI,"Aeroexpreso Interamericano",Colombia
,AEJ,"Air Express",Tanzania
,AEK,Aerocon,Bolivia
,AEM,"Aero Madrid",Spain
KD,AEN,"Air Enterprise",France
,AEO,"Aeroservicios Ejecutivos Del Occidente",Mexico
,AEP,"Aerotec Escuela de Pilotos",Spain
KO,AER,"Alaska Central Express","United States"
VX,AES,"ACES Colombia",Colombia
KH,AAH,"Aloha Air Cargo","United States"
,AAK,"Alaska Island Air","United States"
AA,AAL,"American Airlines","United States"
AX,—,AmericanConnection[5],"United States"
AN,AAA,"Ansett Australia",Australia
,AAC,"Army Air Corps","United Kingdom"
5W,AEU,Astraeus,"United Kingdom"
,AEV,Aeroventas,Mexico
VV,AEW,"Aerosvit Airlines",Ukraine
,AEX,"Airway Express","United States"
